platform,game_name,playtime_raw,playtime_hours,source
xbox,Forza Horizon5 = \/,7j 1h,169.0,xbox_ui_keyboard
xbox,Forza Horizon 4 =\/,31j 7h,751.0,xbox_ui_keyboard
xbox,WUCHANG: Fallen Feathers \/,,0.0,xbox_ui_keyboard
xbox,Cities: Skylines Il - PC Edition \/,1h,1.0,xbox_ui_keyboard
xbox,Starfield \/,3h,3.0,xbox_ui_keyboard
xbox,Sea of Thieves: 2026 Edition \/,4j 12h,108.0,xbox_ui_keyboard
xbox,Just Cause 3. \/,2j 1h,49.0,xbox_ui_keyboard
xbox,Rocket League® = \/,36j 2h,866.0,xbox_ui_keyboard
xbox,FI® 2021,18h,18.0,xbox_ui_keyboard
xbox,Fortnite \/,108j 1h,2593.0,xbox_ui_keyboard
xbox,Forza Horizon2. \/#,13h,13.0,xbox_ui_keyboard
xbox,DOOM Eternal (BATTLEMODE) \/,10h,10.0,xbox_ui_keyboard
xbox,Call of Duty: Black Ops Ill _\/,,0.0,xbox_ui_keyboard
